127.0.0.1 - - [27/Apr/2024:16:35:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:35:21 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:35:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:35:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:35:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:35:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:03 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:10 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20390
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:10 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:10 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:10 +0530] "GET /project_3/img/new%20pro11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:12 +0530] "GET /project_3/ctl/UserCtl?id=4 HTTP/1.1" 200 17740
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:12 +0530] "GET /project_3/img/34343.jpg HTTP/1.1" 200 58141
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:18 +0530] "GET /project_3/ctl/UserCtl?id=56 HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:37 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:41 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:42 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:36:47 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7585
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:37:16 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:37:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:37:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:38:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:38:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:49:11 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:55:46 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:55:46 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:56:47 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 6003
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:57:09 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 6003
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:57:30 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:58:08 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:58:34 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:58:34 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12694
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:58:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:58:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:58:34 +0530] "GET /project_3/img/2128286%20forsetsun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:16:59:28 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
