127.0.0.1 - - [16/May/2024:13:48:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:07 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:32 +0530] "GET /project_3/img/4623133%20AI.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:35 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:45 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9928
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:54 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20396
0:0:0:0:0:0:0:1 - - [16/May/2024:13:48:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:13:49:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:14:04:38 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20396
0:0:0:0:0:0:0:1 - - [16/May/2024:14:04:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:14:29:17 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20397
0:0:0:0:0:0:0:1 - - [16/May/2024:14:29:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:14:43:41 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [16/May/2024:14:43:41 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 18623
0:0:0:0:0:0:0:1 - - [16/May/2024:14:43:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:16:43:37 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 7657
0:0:0:0:0:0:0:1 - - [16/May/2024:16:45:06 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2024:16:45:06 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 19558
0:0:0:0:0:0:0:1 - - [16/May/2024:16:45:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:16:50:47 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 19558
0:0:0:0:0:0:0:1 - - [16/May/2024:16:50:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:16:50:50 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20398
0:0:0:0:0:0:0:1 - - [16/May/2024:16:50:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/May/2024:16:50:53 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20398
0:0:0:0:0:0:0:1 - - [16/May/2024:16:50:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
