127.0.0.1 - - [04/Jun/2024:18:10:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:38 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:38 +0530] "GET /project_3/img/4623143%20AI%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:43 +0530] "GET /project_3/img/4623133%20AI.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:56 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:10:56 +0530] "GET /project_3/img/2024%20yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:11:07 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:11:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9928
0:0:0:0:0:0:0:1 - - [04/Jun/2024:18:11:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
