127.0.0.1 - - [05/Oct/2024:13:00:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:24 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:24 +0530] "GET /project_3/img/4623143%20AI%202.jpg HTTP/1.1" 200 158685
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:24 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:26 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:26 +0530] "GET /project_3/img/4623133%20AI.jpg HTTP/1.1" 200 498133
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:31 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:31 +0530] "GET /project_3/img/2024%20yellow.jpg HTTP/1.1" 200 767545
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:44 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 12440
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:51 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:51 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:51 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:00:51 +0530] "GET /project_3/img/new%20pro11.jpg HTTP/1.1" 200 111301
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:00 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 21138
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:00 +0530] "GET /project_3/img/34343.jpg HTTP/1.1" 200 58141
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:19 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:19 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:26 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 22375
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:39 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 23196
0:0:0:0:0:0:0:1 - - [05/Oct/2024:13:01:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
