127.0.0.1 - - [12/Dec/2023:17:58:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:58:58 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:58:58 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:58:58 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 200 1475182
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:58:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:59:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:59:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:59:27 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 200 2064282
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:59:48 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [12/Dec/2023:17:59:48 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 200 2263867
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:04:22 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:04:22 +0530] "GET /project_3/img/course_img.jpg HTTP/1.1" 200 3750726
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:04:56 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:04:59 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:04:59 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12521
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:04:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:05:00 +0530] "GET /project_3/img/user_reg.jpg HTTP/1.1" 200 3503158
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:05:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:05:29 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:10:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:10:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:10:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:42 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:42 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:42 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:42 +0530] "GET /project_3/img/universe_01.jpg HTTP/1.1" 200 3820558
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:47 +0530] "GET /project_3/ctl/UserCtl?id=12 HTTP/1.1" 200 17453
0:0:0:0:0:0:0:1 - - [12/Dec/2023:18:16:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
